id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
275;Differentiate $y = \dfrac{\operatorname{cos}(x)}{x^2}$.;4;$\dfrac{dy}{dx} = \dfrac{-x\operatorname{sin}(x) -2\operatorname{cos}(x)}{x^3}$;$\dfrac{dy}{dx} = \dfrac{x\operatorname{sin}(x) -2\operatorname{cos}(x)}{x^3}$;$\dfrac{dy}{dx} = \dfrac{-x\operatorname{sin}(x) -2\operatorname{cos}(x)}{x^2}$;$\dfrac{dy}{dx} = \dfrac{-\operatorname{sin}(x) -2x\operatorname{cos}(x)}{x^2}$;4;Differentiation
277;"Consider the applications that transform vectors of $\mathbb{R}^3$ into vectors of $\mathbb{R}^2$.

$\begin{array}{cccc}
F:& \mathbb{R}^3 & \rightarrow  & \mathbb{R}^2 \\
  & (x, y, z) & \longrightarrow & (x-y^2, 2y+z)
\end{array}
\begin{array}{cccc}
G:& \mathbb{R}^3 & \rightarrow  & \mathbb{R}^2 \\
  & (x, y, z) & \longrightarrow & (x-y+z, 2y+z)
\end{array} 
\begin{array}{cccc}
H:& \mathbb{R}^3 & \rightarrow  & \mathbb{R}^2 \\
  & (x, y, z) & \longrightarrow & (x-y+z, 2y+z-1)
\end{array}
\begin{array}{cccc}
J:& \mathbb{R}^3 & \rightarrow  & \mathbb{R}^2 \\
  & (x, y, z) & \longrightarrow & (x-y, 3z+2x)
\end{array} $

Which ones  are linear applications?";2;$G, J$ ;$G, H, J$;"$F, G, J$
";$F, G, H$;18;Linear Algebra
278;"Consider the linear application $F: \mathbb{R}^2\rightarrow \mathbb{R}^3$ such that 
$$F(1, 2)=(2, 3,1), F(0,-1)=(1, 0,3),$$ where $A=\{(1, 2), (0, -1)\}$ is a base of $\mathbb{R}^2$. 
Choose the right answer:";4;"$F(x, y)=(4x-y, 3x, 7x-3y)$ 
";" $F(x, y)=(4x-y, 3x, -3y)$
";"$F(x, y)=(4x-y, 3y, 7x-3y)$ 
";$F(x, y)=(4x-y, 3x-3y)$;18;Linear Algebra
279;"A consulting firm will carry out two types of projects ($A$ and $B$). The development cost per project $A$ and $B$ is, respectively, $1$ and $2$ monetary units. The requirements in terms of analysts, programmers and terminals for each type of project, are indicated in the following table:

\[
\begin{array}{|c|c|c|c|}
\hline
\text{Project} & \text{N. of programmers}  & \text{N. of analysts}  & \text{N. of terminals} \\
\hline
\text{A} & 2 & 2 & 3 \\
\text{B} & 3 & 6 & 1 \\
\hline
\end{array}
\]

The company wants to minimize the cost of developing projects in the next period. In the development of these projects, at least $10$ programmers and $5$ analysts should be used while the company only has $6$ terminals available. In this situation, what are the decision variables to formalize the Linear Programming (LP) model that allows planning the company's activity?";3;$x_{i}$ is the number of developed project $i$ ($i=1$, for project $A$ and $i=2$, for project $B$);$x_{2}$ is the number of developed projects $B$;$x_{1}$ is the number of developed projects $A$;$x$ is the number of developed projects $A$ and $B$;12;Optimization
280;"A consulting firm will carry out two types of projects ($A$ and $B$). The development cost per project $A$ and $B$ is, respectively, $1$ and $2$ monetary units. The requirements in terms of analysts, programmers and terminals for each type of project are indicated in the following table:

\[
\begin{array}{|c|c|c|c|}
\hline
\text{Project} & \text{N. of programmers}  & \text{N. of analysts}  & \text{N. of terminals} \\
\hline
\text{A} & 2 & 2 & 3 \\
\text{B} & 3 & 6 & 1 \\
\hline
\end{array}
\]	

The company wants to minimize the cost of developing projects in the next period. In the development of these projects, at least $10$ programmers and $5$ analysts should be used while the company only has $6$ terminals available. How does the Linear Programming (LP) model should be formalized  to allow planning the company's activity?";3;"\[
\begin{array}{ll}
		\text{Minimize} & Z= x_{1} + 2x_{2} \\
		\text{subject to} & 2x_{1}+3x_{2}\geq 10\\
		  & 2x_{1}+6x_{2}\geq 5\\
		  & 3x_{1}+x_{2}\leq 6 \\
	      &  x_{1},x_{2}\geq 0\\
\end{array}
\]";"\[
\begin{array}{ll}
		\text{Minimize} & Z= x_{1} + 2x_{2}\\
		\text{subject to} & 2x_{1}+3x_{2}\geq 10\\
		 & 2x_{1}+6x_{2}\geq 5\\
		 & 3x_{1}+x_{2}\leq 6\\
\end{array}
\]";"		\[
\begin{array}{ll}
		\text{Minimize} & Z= x_{1} + 2x_{2}\\
		\text{subject to} & 2x_{1}+3x_{2}\leq 10\\
		 &  2x_{1}+6x_{2}\leq 5\\
		 &  3x_{1}+x_{2}\geq 6\\
         &  x_{1},x_{2}\geq 0\\
\end{array}
\]";"\[
\begin{array}{ll}
		\text{Minimize} & Z= x_{1} + 2x_{2}\\
		\text{subject to} & 2x_{1}+3x_{2}\leq 10\\
		&  2x_{1}+6x_{2}\leq 5\\
		&  3x_{1}+x_{2}\leq 6\\
		&  x_{1},x_{2}\geq 0\\
\end{array}
\]";12;Optimization
281;"The WorldLight Company produces two light fixtures (products $1$ and $2$) that require both metal frame parts and electrical components. Management wants to determine how many units of each product to produce so as to maximize profit. For each unit of product $1$, $1$ unit of frame parts and $2$ units of electrical components are required. For each unit of product $2$, $3$ units of frame parts and $2$ units of electrical components are required. The company has $200$ units of frame parts and $300$ units of electrical components. 

Each unit of product $1$ gives a profit of $1$, and each unit of product $2$, up to $60$ units, gives a profit of $2$. Any excess over	$60$ units of product $2$ brings no profit, so such excess has been ruled out.
	
In this situation, what are the decision variables to formalize the Linear Programming (LP) model that allows planning the company's activity?";3;$x_{i}$ the number of units of product $i$ produced ($i=1$, for product $A$ and $i=2$, for product $B$).;$x$ the number of units of product $1$ and $2$ produced.;$x_{1}$ is the number of units of product $1$ produced.;$x_{2}$ is the number of units of product $2$ produced.;12;Optimization
282;"The WorldLight Company produces two light fixtures (products $1$ and $2$) that require both metal frame parts and electrical components. Management wants to determine how many units of each product to produce so as to maximize profit. For each unit of product $1$, $1$ unit of frame parts and $2$ units of electrical components are required. For each unit of product $2$, $3$ units of frame parts and $2$ units of electrical components are required. The company has $200$ units of frame parts and $300$ units of electrical components. 

Each unit of product $1$ gives a profit of $1$, and each unit of product $2$, up to $60$ units, gives a profit of $2$. Any excess over	$60$ units of product $2$ brings no profit, so such excess has been ruled out.

How does the Linear Programming (LP) model should be formalized to allow planning of the company's activity?";3;"\[
\begin{array}{ll}
		\text{Maximize} & Z= x_{1} + 2x_{2}\\
		\text{subject to} & x_{1}+3x_{2}\leq 200\\
	        & 2x_{1}+2x_{2}\leq 300\\
			& x_{2}\leq 60\\
			&  x_{1},x_{2}\geq 0\\
\end{array}
\]";"\[ \begin{array}{ll}
		\text{Maximize} & Z= x_{1} + 2x_{2}\\
		\text{subject to} &  x_{1}+3x_{2}\leq 200\\
			& 2x_{1}+2x_{2}\leq 300\\
			& x_{1},x_{2}\geq 0\\
\end{array}
\]";"\[\begin{array}{ll}
		\text{Minimize} & Z= x_{1} + 2x_{2}\\
			\text{subject to} & x_{1}+3x_{2}\leq 200\\
			    & 2x_{1}+2x_{2}\leq 300\\
			    & x_{2}\leq 60\\
			    & x_{1},x_{2}\geq 0\\
\end{array}
\]";"\[\begin{array}{ll}
		\text{Maximize} & Z= x_{1} + 2x_{2}\\
			\text{subject to} &  x_{1}+3x_{2}\leq 200\\
    			& 2x_{1}+2x_{2}\leq 300\\
			    & x_{2}\geq 60\\
			    & x_{1},x_{2}\geq 0\\
\end{array}
\]";12;Optimization
283;"The WorldLight Company produces two light fixtures (products $1$ and $2$) that require both metal frame parts and electrical components. Management wants to determine how many units of each product to produce so as to maximize profit. For each unit of product $1$, $1$ unit of frame parts and $2$ units of electrical components are required. For each unit of product $2$, $3$ units of frame parts and $2$ units of electrical components are required. The company has $200$ units of frame parts and $300$ units of electrical components. 

Each unit of product $1$ gives a profit of $1$, and each unit of product $2$, up to $60$ units, gives a profit of $2$. Any excess over	$60$ units of product $2$ brings no profit, so such excess has been ruled out.

Use a computer (Solver Supplement of Excel) to solve this Linear programming model using the simplex method to allow planning the company's activity.";1;$x_1=125,~x_2=25$;$x_1=20,~x_2=60$;$x_1=150,~x_2=0$;$x_1=0,~x_2=60$;12;Optimization
284;"Ralph Edmund loves steaks and potatoes. Therefore, he has decided to go on a steady diet of only these two foods (plus some liquids and vitamin supplements) for all his meals. Ralph realizes that this isn't the healthiest diet, so he wants to make sure that he eats the right quantities of the two foods to satisfy some key nutritional requirements. He has obtained the following nutritional and cost information:

\[
\begin{array}{|l|c|c|c|}
\hline
%& \multicolumn{2}{c|}{Grams of ingredient per serving} &\\
\text{Ingredient} & \text{Steak (gr. per serving)} & \text{Potatoes (gr. per serving)} & \text{Daily Requirements (gr.)} \\
\hline
\text{Carbohydrates} & 5 & 15 & \geq 50 \\
\text{Protein} & 20 & 5 & \geq 40 \\
\text{Fat} & 15 & 2 & \leq 60 \\
\hline
\text{Cost per serving} & 4 & 2 &  \\
\hline
\end{array}
\]

In this situation, what are the decision variables to formalize the Linear Programming (LP) model that allows planning the Ralph's diet?";3;$x_{i}$ is the number of daily servings of food $i$ ($i=1$, for steak and $i=2$, for potatoes);$x$ is the number of daily servings of food;$x_{1}$ is the number of daily servings of potatoes;$x_{2}$ is the number of daily servings of steak;12;Optimization
285;"Ralph Edmund loves steaks and potatoes. Therefore, he has decided to go on a steady diet of only these two foods (plus some liquids and vitamin supplements) for all his meals. Ralph realizes that this isn't the healthiest diet, so he wants to make sure that he eats the right quantities of the two foods to satisfy some key nutritional requirements. He has obtained the following nutritional and cost information:

\[
\begin{array}{|l|c|c|c|}
\hline
%& \multicolumn{2}{c|}{Grams of ingredient per serving} &\\
\text{Ingredient} & \text{Steak (gr. per serving)} & \text{Potatoes (gr. per serving)} & \text{Daily Requirements (gr.)} \\
\hline
\text{Carbohydrates} & 5 & 15 & \geq 50 \\
\text{Protein} & 20 & 5 & \geq 40 \\
\text{Fat} & 15 & 2 & \leq 60 \\
\hline
\text{Cost per serving} & 4 & 2 &  \\
\hline
\end{array}
\]

How does the Linear Programming (LP) model should be formalized to allow planning the Ralph's diet?";3;"\[\begin{array}{ll}
		\text{Minimize} & Z= 4x_{1} + 2x_{2}\\
			\text{subject to} &  5x_{1}+15x_{2}\geq 50\\
			    & 20x_{1}+5x_{2}\geq 40\\
			    & 15x_{1}+2x_{2}\leq 60\\
			    & x_{1},x_{2}\geq 0\\
\end{array}
\]";"\[\begin{array}{ll}
		\text{Minimize} & Z= 4x_{1} + 2x_{2}\\
			\text{subject to} &   5x_{1}+15x_{2}\geq 50\\
			    & 20x_{1}+5x_{2}\geq 40\\
			    & 15x_{1}+2x_{2}\leq 60\\
\end{array}
\]";"\[\begin{array}{ll}
		\text{Maximize} & Z= 4x_{1} + 2x_{2}\\
			\text{subject to} &   5x_{1}+15x_{2}\geq 50\\
			    & 20x_{1}+5x_{2}\geq 40\\
			    & 15x_{1}+2x_{2}\leq 60 \\
			    &  x_{1},x_{2}\geq 0\\
\end{array}
\]";"\[\begin{array}{ll}
		\text{Minimize} & Z= 4x_{1} + 2x_{2}\\
			\text{subject to} &   5x_{1}+15x_{2}\geq 50\\
			    & 20x_{1}+5x_{2}\geq 40\\
			    & 15x_{1}+2x_{2}\geq 60\\
			    & x_{1},x_{2}\geq 0\\
\end{array}
\]";12;Optimization
287;"The linear application $F: \mathbb{R}^3\rightarrow \mathbb{R}^3$ is represented by matrix 
$$A=\left[\begin{array}{rrr}
 -1  & 2 & 0\\
 0 & 1 & 2 \\
  3 & 2  & 1
  \end{array}\right]$$
when considered the canonical basis of $\mathbb{R}^3$. The analytic expression of $F$ is:";2;"$F(x, y, z)=(-x+2y, y+2z, 3x+2y+z)$ 
";"$F(x, y, z)=(-x+3y, 2x+y+2z, 2y+z)$
";"$F(x, y, z)=(-x+2y, y+2z, 2y+z)$
";$F(x, y, z)=(-x, y, z)$;18;Linear Algebra
288;"Let the linear application $F: \mathbb{R}^3\rightarrow \mathbb{R}^2$ be defined by $F(x, y, z)=(x+y-z, 2x+3y+z)$. 
The kernel, $ker(F)$, and the space image of $F$, $range(F)$, are respectively:";4;"$ker(F)=\{(4z, -3z, z): z\in \mathbb{R}\}, \quad range(F)= \mathbb{R}^2$
";"$ker(F)=\{(0, 0, 0)\}, \quad range(F)= \mathbb{R}^2$
";"$ker(F)=\{(4z, -3z, z): z\in \mathbb{R}\}, \quad range(F)= \{(x, y)\in \mathbb{R}^2: x+y=0\}$ 
";$ker(F)=\{(4z, 3z, z): z\in \mathbb{R}\}, \quad range(F)= \mathbb{R}^2$ ;18;Linear Algebra
289;"Consider the linear transformation $F: \mathbb{R}^3\rightarrow \mathbb{R}^2$ defined by $F(x, y, z)=(5z, x+2y)$. 
Let the kernel, $ker(F)$ and the space image of $F$, $range(F)$, respectively.  Choose the right answer:";4;"$(2, -1, 0) \in ker(F)$ and $(1, 1) \in range(F)$ 
";"$(0, 0) \in ker(F)$ and $(1, 1) \in range(F)$
";"$(3, 5) \in ker(F)$ and $(1, -1, 2) \in range(F)$
";$((2, -1, 0)\in ker(F)$ and $(1, -1, 2) \notin range(F)$ ;18;Linear Algebra
290;Let $T:\mathbb{R}^2 \longrightarrow \mathbb{R}^2$ where $T(x,y)=(a+x,y)$.  $T$ is a linear transformation if:;1;"$a=0$
";"$a\in \mathbb{R}^+$
";$a\in \mathbb{R}^-$;Never;18;Linear Algebra
291;Let $T:\mathbb{R}^2\longrightarrow \mathbb{R}^3$ be the linear transformation given by $T(x,y)=(x-y,0,3x-3y)$. Indicate which of the following vector is in kernel of $T$.;2;$(-6,-6)$;"$(0,0,0)$

";$(3,-3)$;$(4,4,0)$;18;Linear Algebra
292;Let $T:\mathbb{R}^3\longrightarrow \mathbb{R}^3$ be the linear operator given by  $T(x,y,z)=(x-2z,-2x+y+5z,4x+2y-6z)$. Indicate which of the following vectors does not belong to the range of $T$.;3;"$(3,4,5)$ 
";"$(1,0,8)$
";"$(2,-3,10)$
";$\displaystyle \left(\frac{1}{2},-5,-6\right)$;18;Linear Algebra
293;Let $T:\mathbb{R}^2\longrightarrow \mathbb{R}^3$ be the linear transformation given by $T(x,y)=(2x,y,4x-3y)$. The range of $T$ is:;1;"$\left\{(a,b,c)\in \mathbb{R}^3: c=2a-3b\right\}$ 
";"$\mathbb{R}^3$ 
";"$\left\{(a,b,c)\in \mathbb{R}^3: c=4a-3b\right\}$
";$\left\{(a,b,c)\in \mathbb{R}^3: c=2a-5b\right\}$;18;Linear Algebra
294; A die is rolled. Find the probability of obtaining an odd number.;3;$\dfrac{1}{2}$;$\dfrac{1}{6}$;$\dfrac{1}{3}$;$\dfrac{1}{4}$;17;Probability 
295;"Which of these numbers cannot be a probability?
";3; 1.0276;0;$\dfrac{1}{3}$ ;0.0007;17;Probability 
296;Consider the transformations $T:\cal{M}_{2\times 2}(\mathbb{R})\longrightarrow \mathbb{R}$. Mark the linear transformation.;2;"$T\left(\left[\begin{array}{rr}
      a & b \\
	c & d     \end{array}\right]\right)= 2a-3b+d$ 
";"$T\left(\left[\begin{array}{rr}
      a & b \\
	c & d     \end{array}\right]\right)= ad-bc$ 
";"$T\left(\left[\begin{array}{rr}
      a & b \\
	c & d     \end{array}\right]\right)= a^2+c^2$
";"$T\left(\left[\begin{array}{rr}
      a & b \\
      c & d    
 \end{array}\right]\right)= -4a+2b+3$";18;Linear Algebra
297;"Two dice are rolled. Find the probability that the sum is equal to 12.
";5;$\dfrac{1}{36}$;$\dfrac{1}{24}$;$\dfrac{1}{12}$ ;$\dfrac{1}{18}$;17;Probability 
298;"Two coins are tossed. Find the probability that two tails are obtained.
";3;$\dfrac{1}{4}$;$\dfrac{1}{2}$;$\dfrac{1}{3}$;$\dfrac{1}{8}$;17;Probability 
299;A card is drawn at random from a deck with 52 cards. Find the probability of getting the 7 of hearts.;3;$\dfrac{1}{52}$;$\dfrac{1}{26}$;$\dfrac{7}{52}$ ;$\dfrac{7}{26}$ ;17;Probability 
300;A team of 4 people is to be formed from a group of 7 women and 5 men. How many different teams might be formed?;5;$495$;$24$;$11880$;$479001600$;17;Probability 
301;A traffic light is red $ 40\%$ of the times you drive through an intersection. If you follow that route twice, find the probability of obtaining two red lights.;3;$16\%$;$32\%$;$40\%$ ;$20\%$;17;Probability 
302;You placed 3 white balls and 5 black balls in a bag. If a ball is drawn from the bag at random, what is the probability it is black?;3;$\dfrac{5}{8}$;$\dfrac{3}{5}$;$\dfrac{3}{8}$ ;$\dfrac{8}{3}$;17;Probability 
303;If there are $6$ teams competing in a tournament, how many possibilities are there in terms of the final standings? (Consider that there are no tied ranks.);5;$720$;$1024$;$120$;$5040$;17;Probability 
304;In how many different ways can you arrange $8$ guests around a circular table?;1;$5040$;$1024$;$720$;$120$;17;Probability 
305;"You need to open a locked door. You have 4 similar keys in a key-chain. What is the probability of succeeding in opening the door at the first try?
";2;$\dfrac{1}{4}$;$\dfrac{1}{2}$;$\dfrac{1}{3}$ ;$\dfrac{2}{3}$ ;17;Probability 
306;Choose the true statement.;3;"If the kernel of a linear transformation $T:\mathbb{R}^3\longrightarrow \mathbb{R}^3$ is $\left\{(0,0,0)\right\}$, then $T$ is an isomorphism. 

";" If the kernel of a linear transformation $T:\mathbb{R}^3\longrightarrow \mathbb{R}^4$ is $\left\{(0,0,0)\right\}$, then $T$ is an isomorphism. 
";"If the kernel of a linear transformation $T:\mathbb{R}^2\longrightarrow \mathbb{R}^3$ is $\left\{(0,0)\right\}$, then $T$ is an isomorphism.
";If the kernel of a linear transformation $T:\mathbb{R}^3\longrightarrow \mathbb{R}^3$ is $\left\{(0,0,x):x\in\mathbb{R}\right\}$, then $T$ is an isomorphism.;18;Linear Algebra
307;"The sample space of a random experiment is $\left\{a, b, c, d, e\right\}$ with probabilities $0.1$, $0.1$, $0.2$, $0.4$, and $0.2$, respectively. 
Let $A$ denote the event $\left\{a, b, c\right\}$ and let $B$ denote the event $\left\{c, d, e\right\}$. Calculate $P(A\cap B)$.";1;$0.2$;$1$;$0.6$;$0.8$;17;Probability 
308;"The sample space of a random experiment is $\left\{a, b, c, d, e\right\}$ with probabilities $0.1$, $0.1$, $0.2$, $0.4$, and $0.2$, respectively.
Let $A$ denote the event $\left\{a, b, c\right\}$ and let $B$ denote the event $\left\{c, d, e\right\}$. Calculate $P\left(\overline{A}\right)$.";4;$0.6$;$1$;$0.2$;$0.8$;17;Probability 
309;Find $\displaystyle\int x^3+ \operatorname{e}^{3x} dx$.;1;"$\displaystyle\dfrac{x^4}{4}+\dfrac{\operatorname{e}^{3x}} {3} + c$
";"$\displaystyle x^4 +\operatorname{e}^{3x}+c$
";"$\displaystyle 3x^2 + 3\operatorname{e}^{3x} + c$
";$\displaystyle 3x^2 + \frac{\operatorname{e}^{3x+1}}{3x+1}+c$;5;Integration
310;A team of $4$ people is to be formed from a group of $7$ women and $5$ men. How many different teams might be formed containing at least one woman?;2;$490$;$90037500$;$124$;$3568400$;17;Probability 
311;Find $\displaystyle\int \frac{\sin\left(2x\right)}{\sqrt{1+\sin^2\left(x\right)}}dx$.;4;"$2\sqrt{1+\sin^2\left(x\right)}+c$
";"$x+c$
";"$\cos(2x)\sqrt{1+\sin^2\left(x\right)}+c$
";$\displaystyle \dfrac{\sqrt{1+\sin^2\left(x\right)}}{\cos(2x)}+c$;5;Integration
312;In a school, $60\%$ of students have access to the internet at home. A group of $4$ students is chosen at random. Find the probability that exactly $3$ have access to the internet.;1;$0.346$;$0.126$;$0.154$;$0.026$;17;Probability 
313;Consider the vectors of $\mathbb{R}^3$, $v_1=(2, 0, 1)$, $v_2=(1, -1, 3)$, $v_3=(1, 1, -2)$ and $v_4=(3, 1, 0)$. Choose the right answer: ;1;The set $\{v_1, v_2, v_3\}$ is linearly dependent but $\{v_1, v_2, v_4\}$ is linearly independent.;$v_4$ is a linear combination of $v_1$ and $v_3$;The space generated by $\{v_1, v_2, v_3\}$ is $\mathbb{R}^3$;$v_3$ is a linear combination of $v_2$ and $v_4$ ;18;Linear Algebra
314;Three coins are tossed. Find the probability that two tails are obtained.;5;$0.375$;$0.875$;$0.125$;$0.250$;17;Probability 
315;Find $\displaystyle \int x^4\ln(x)\, dx$.;3;"$\displaystyle\dfrac{x^5}{5}\ln(x)-\dfrac{x^5}{25}+c$ 
";"$\displaystyle \dfrac{x^3}{3}\dfrac{\ln^2(x)} {2} + c$
";"$\displaystyle \dfrac{x^5}{5}\left( x\ln(x)-x\right)+ c$
";$\displaystyle \dfrac{x^6}{6}\dfrac{\left( \ln(x)\right)^2}{2}+ c$;5;Integration
316;Two dice are rolled. Find the probability that the sum is at least equal to $10$.;5;$\dfrac{1}{6}$;$\dfrac{1}{12}$ ;$\dfrac{1}{36}$ ;$\dfrac{1}{9}$ ;17;Probability 
317;Consider the subspaces of $\mathbb{R}^2$, $S_1$ generated by $\{(2, -3)\}$ and $S_2$ generated by $\{(2, -3), (-6, 9)\}$. Choose the right answer: ;2;$S_1=S_2=\{(x,y): 3x+2y=0\}$;$S_1=\{(x,y): 3x+2y=0\}$ and $S_2=\mathbb{R}^2$;$S_1=S_2=\mathbb{R}^2$;$S_1=S_2=\{(2x,-3y): x, y\in \mathbb{R}\}$;18;Linear Algebra
318;Three unbiased coins are tossed. What is the probability of getting at least $1$ head?;2;$0.875$;$0.5$;$0.375$;$0.25$;17;Probability 
319;Consider the basis $S=\left\{(1,2),(0,-1)\right\}$ for $\mathbb{R}^2$ and let $T:\mathbb{R}^2 \longrightarrow \mathbb{R}^2$ be the linear operator for which $T(4,2)= (2,-5)  $ and $T(0,-1)=(-3,1)$. Choose the right answer.;1;"$T(4,-3)= (-13,0)$
";"$T(x,y)= (-4x+12y,-3-4y)$ 
";"$T(0,-3)=(9,-3)$
";$T(1,1)= (-1,-4)$;18;Linear Algebra
320;Three unbiased coins are tossed. What is the probability of getting at most $2$ heads?;2;$0.875$;$0.5$;$0.375$;$0.25$;17;Probability 
321;Indicate which of the following applications is linear.;2;"
\( T: \mathbb{R}^2 \to \mathbb{R}^2: \quad T(x,y) = (y,x) \)";"
\( T: \mathbb{R}^2 \to \mathbb{R}^2: \quad T(x,y)=(1+x,y) \)";"
\( T: \mathbb{R}^2 \to \mathbb{R}^2: \quad T(x,y)=(x^2,y) \)
";"
\( T: \mathbb{R}^3 \to \mathbb{R}^2: \quad:T(x,y,z)=(x-2yx,-y)\)
";18;Linear Algebra
322;"A population of $600$ semiconductor wafers contains wafers from three lots. The wafers are categorised by lot and by whether they conform to a thickness specification. The following table presents the number of wafers in each category.

\begin{table}
\begin{tabular}{l | c | c} 
\hline
\text{Lot} & \text{Conforming} & \text{Nonconforming} \\ 
\hline
A & 88 & 12 \\
B & 165 & 35 \\ 
C & 260 & 40 \\ 
\hline
\end{tabular}
\end{table}

If the wafer is from Lot $A$, what is the probability that it is conforming?";2;$0.880$;$0.843$;$0.172$;$0.493$;17;Probability 
323;Indicate which of the following applications is not linear. ;2;"$T:\mathbb{R}^2\longrightarrow\mathbb{R}^2:T(x,y)=(\sin(x),y)$
";"$T: \mathbb{R}^2\longrightarrow\mathbb{R}^2:T(x,y)=(x+2y,3x-y)$
";"$T: \mathbb{R}^2\longrightarrow\mathbb{R}^2:T(x,y)=(0,0)$ 
";$T:\mathbb{R}^4\longrightarrow\mathbb{R}^4:T(x,y,z,w)=(x,y,z,w)$;18;Linear Algebra
324;Indicate which of the following applications is linear.;2;"$T:\mathbb{R}^2\longrightarrow\mathbb{R}^3:T(x,y)=(x,0,x+y)$ 
";"$T: \mathbb{R}^2\longrightarrow\mathbb{R}^2:T(x,y)=(x^2 y,2x)$ 
";"$T: \mathbb{R}^4\longrightarrow\mathbb{R}^2:T(x,y, z, w)=(x+y+z,2)$
";$T:\mathbb{R}^3\longrightarrow\mathbb{R}^2:T(x,y, z)=(x+1+z,y+2x-z)$;18;Linear Algebra
325;Consider the linear application $T:\mathbb{R}^2 \longrightarrow \mathbb{R}^2$ such that $T(x,y)= \left(2x-y,3x+y\right)$. Choose the wrong answer.;2;$dim\left(ker(T)\right)= 1$;$ker(T)=\left\{(0,0)\right\}$;$range(T)=\mathbb{R}^2$;$dim\left(range(T)\right)= 2$;18;Linear Algebra
326;Simplify $i^{148}$.;5;$1$;$i$;$-1$;$-i$;10;Complex Numbers
327;Simplify $i^3+i^6+i^9$.;1;$-1$;$-i$;$1$;$i$;10;Complex Numbers
328;Simplify $i^2+8i^3+i^5-2i^7$.;5;$-1-5i$;$-1+5i$;$1-5i$ ;$1+5i$ ;10;Complex Numbers
329;Simplify $\dfrac{2+4i}{1+i}(2-i)$.;2;$7-i$;$-7+i$;$7+i$;$-7-i$;10;Complex Numbers
330;Simplify $\dfrac{1+i}{1-i}+\dfrac{1-i}{1+i}$.;2;$0$;$i$;$-i$;$1$;10;Complex Numbers
331;The solution set of the equation $2z^2+7=0$ is:;5;$S\left\{-i\sqrt{\dfrac{7}{2}} \ , \ i\sqrt{\dfrac{7}{2}}\right\}$;$S\left\{-\sqrt{\dfrac{7}{2}} \ , \ \sqrt{\dfrac{7}{2}}\right\}$;$S\left\{\dfrac{7}{2}-i\sqrt{\dfrac{7}{2}} \ \ , \ \ \dfrac{7}{2}+i\sqrt{\dfrac{7}{2}}\right\}$;$S\left\{-\dfrac{7}{2}-i\sqrt{\dfrac{7}{2}} \ \ , \ \ -\dfrac{7}{2}+i\sqrt{\dfrac{7}{2}}\right\}$;10;Complex Numbers
332;The solution set of the equation $5z^2-4z+1=0$ is:;5;$S\left\{\dfrac{2}{5}-\dfrac{1}{5}i \ , \ \dfrac{2}{5}+\dfrac{1}{5}i\right\}$;$S\left\{\dfrac{1}{5}-\dfrac{2}{5}i \ , \ \dfrac{1}{5}+\dfrac{2}{5}i\right\}$;$S\left\{-\dfrac{1}{5}-\dfrac{2}{5}i \ , \ -\dfrac{1}{5}+\dfrac{2}{5}i\right\}$;$S\left\{-\dfrac{2}{5}-\dfrac{1}{5}i \ , \ -\dfrac{2}{5}+\dfrac{1}{5}i\right\}$ ;10;Complex Numbers
333;The solution set of the equation $z^2-(3+2i)z+5+i=0$ is:;4;$S\{1-i \ , \ 2+3i\}$;$S\{-1-i \ , \ 2+3i\}$;"$S\{-1-i \ , \ -2+3i\}$
";$S\{1-i \ , \ 2-3i\}$;10;Complex Numbers
334;The polar form of $z=1+i$ is;5;$z=\sqrt{2}\operatorname{e}^{i\frac{\pi}{4}}$;$z=\dfrac{\sqrt{2}}{2}\operatorname{e}^{i\frac{3\pi}{4}}$;$z=\sqrt{2}\operatorname{e}^{-i\frac{\pi}{4}}$;$z=\dfrac{\sqrt{2}}{2}\operatorname{e}^{i\frac{\pi}{4}}$;10;Complex Numbers
335;The polar form of $z=-1-i$ is ;1;$z=\sqrt{2}\operatorname{e}^{i\frac{5\pi}{4}}$;$z=\dfrac{\sqrt{2}}{2}\operatorname{e}^{i\frac{3\pi}{4}}$;$z=\sqrt{2}\operatorname{e}^{-i\frac{5\pi}{4}}$;$z=\dfrac{\sqrt{2}}{2}\operatorname{e}^{i\frac{5\pi}{4}}$;10;Complex Numbers
336;Express $z=\dfrac{1}{-1+3i}$ in the form $z=a+bi$.;1;$z=-\frac{1}{10}-\frac{3}{10}i$;$z=-\frac{3}{10}-\frac{1}{10}i$;$z=\frac{1}{10}+\frac{3}{10}i$;$z=\frac{3}{10}+\frac{1}{10}i$;10;Complex Numbers
337;Express $z=\operatorname{e}^{i3\pi}$ in the form $z=a+bi$. ;5;$z=-1$;$z=-1-i$;$z=-i$;"$z=1+i$
";10;Complex Numbers
338;Express $z=\operatorname{e}^{i\frac{2\pi}{3}}$ in the form $z=a+bi$.;1;$z=-\dfrac{1}{2}+\dfrac{\sqrt{3}}{2}i$;$z=-\dfrac{\sqrt{3}}{2}+\dfrac{1}{2}i$;$z=\dfrac{1}{2}-\dfrac{\sqrt{3}}{2}i$;$z=\dfrac{\sqrt{3}}{2}-\dfrac{1}{2}i$;10;Complex Numbers
